species	longitude	latitude
Myrmecophaga tridactyla	-61.5	-25.56666667
Myrmecophaga tridactyla	-61.83833333	-25.16555556
Myrmecophaga tridactyla	-60.61666667	-25.95
Myrmecophaga tridactyla	-60.93333333	-27.66666667
Myrmecophaga tridactyla	-59.66666667	-26.83333333
Myrmecophaga tridactyla	-56.23333333	-27.5
Myrmecophaga tridactyla	-55.81666667	-27.91666667
Myrmecophaga tridactyla	-56.05	-27.76666667
Myrmecophaga tridactyla	-56.68333333	-27.6
Myrmecophaga tridactyla	-55.91666667	-27.9
Myrmecophaga tridactyla	-55.76666667	-28.31666667
Myrmecophaga tridactyla	-55.96666667	-28.15
Myrmecophaga tridactyla	-56.15	-27.86666667
Myrmecophaga tridactyla	-60.88333333	-23.86666667
Myrmecophaga tridactyla	-62.1	-24.2
Myrmecophaga tridactyla	-61.71666667	-24.31666667
Myrmecophaga tridactyla	-58.16666667	-26
Myrmecophaga tridactyla	-58.57361111	-25.92611111
Myrmecophaga tridactyla	-58.2	-25.03333333
Myrmecophaga tridactyla	-58.2	-25.03333333
Myrmecophaga tridactyla	-59.56000137	-25.39999962
Myrmecophaga tridactyla	-58.04924011	-25.06624985
Myrmecophaga tridactyla	-58.21044159	-25.09480095
Myrmecophaga tridactyla	-58.06470871	-25.05789948
Myrmecophaga tridactyla	-58.05715179	-25.0650692
Myrmecophaga tridactyla	-58.20624924	-25.08551025
Myrmecophaga tridactyla	-58.16275024	-25.1020298
Myrmecophaga tridactyla	-58.13748169	-25.06986046
Myrmecophaga tridactyla	-58.31248856	-24.98732948
Myrmecophaga tridactyla	-58.11759186	-25.11968994
Myrmecophaga tridactyla	-58.1377182	-25.07114983
Myrmecophaga tridactyla	-58.10189819	-25.04173088
Myrmecophaga tridactyla	-58.31248856	-24.98732948
Myrmecophaga tridactyla	-58.14048004	-25.04402924
Myrmecophaga tridactyla	-58.00455093	-25.08918953
Myrmecophaga tridactyla	-58.16426849	-25.09254074
Myrmecophaga tridactyla	-58.14923859	-25.02948952
Myrmecophaga tridactyla	-58.12557983	-25.15390968
